"City","total_providers","total_receivers"
South Christopherborough,3,0
New Carol,3,0
East Lisa,2,0
New Zachary,2,0
Lake Kyle,2,0
Port Patrick,2,0
Leslieville,2,0
North Michelle,2,1
East Stephanie,2,0
Davidville,2,0
Tammyside,2,0
New Richard,2,0
East Jennifer,2,0
North Ashley,2,0
New Daniel,2,1
Jonathanstad,2,0
West Lauraborough,2,0
East Melissa,2,0
North Julieburgh,2,0
New John,2,0
Bradleyport,2,0
East Anthony,2,0
Lake Regina,2,0
Jamesport,2,0
Williamview,2,0
South Thomas,2,0
New Larry,2,0
Phillipsfort,2,0
North Kevinhaven,2,0
Lake Benjamin,2,0
New Lisa,2,0
West Christopher,2,1
Lake Michael,2,1
New Amanda,2,0
Port Melissa,2,1
Barryside,1,0
Bartonborough,1,0
Basstown,1,0
Batesstad,1,0
Beasleyhaven,1,0
Belindaville,1,0
Bellport,1,0
Benjaminstad,1,0
Bentleyburgh,1,0
Bentonfurt,1,0
Blaketown,1,0
Bonillahaven,1,0
Boylechester,1,0
Bradleyborough,1,0
Bradleyview,1,0
Brandyberg,1,0
Brendantown,1,0
Brennanstad,1,0
Brewerfort,1,0
Brianside,1,0
Bridgetside,1,0
Brittanyland,1,0
Brittanyport,1,0
Brittanyside,1,0
Brittanyville,1,0
Brookeland,1,0
Brownberg,1,0
Brownchester,1,0
Browninghaven,1,0
Brownshire,1,0
Brownton,1,0
Browntown,1,0
Bryantton,1,0
Butlerview,1,0
Cabreraberg,1,0
Callahanside,1,0
Cameronside,1,0
Campbellbury,1,0
Campbellchester,1,1
Cannonside,1,0
Carlborough,1,0
Carlbury,1,0
Carolchester,1,0
Carrport,1,0
Cassandraville,1,0
Castilloport,1,0
Chadview,1,0
Chambersfort,1,0
Charlesland,1,0
Charlesmouth,1,0
Charlesview,1,0
Chelseaside,1,0
Chelseyfort,1,0
Christianfurt,1,0
Christinaland,1,1
Christinamouth,1,0
Christinetown,1,0
Christopherchester,1,2
Christopherside,1,0
Christopherstad,1,0
Christopherton,1,0
Cindyshire,1,0
Cisnerostown,1,0
Clarkberg,1,0
Codyview,1,0
Coleburgh,1,0
Colemanton,1,0
Collinsmouth,1,0
Collinston,1,0
Connieside,1,0
Contrerasberg,1,0
Coopermouth,1,0
Copelandchester,1,0
Cordovaborough,1,0
Courtneychester,1,0
Crystalborough,1,0
Cummingstown,1,0
Cunninghambury,1,0
Danachester,1,0
Danaville,1,0
Dannybury,1,0
Darrellfurt,1,0
Darrylchester,1,0
Davidborough,1,0
Davidchester,1,0
Davidland,1,1
Davidport,1,1
Davisshire,1,0
Davisview,1,0
Deanport,1,0
Deborahfurt,1,0
Deborahland,1,0
Deckermouth,1,0
Derekland,1,0
Derekport,1,0
Derekshire,1,0
Devinmouth,1,0
Devinton,1,0
Donnaborough,1,0
Drakeville,1,0
Durhamchester,1,0
East Aaron,1,0
East Alexisberg,1,0
East Amyfurt,1,0
East Amymouth,1,0
East Andrea,1,0
East Andrewland,1,0
East Angela,1,0
East Angelafort,1,0
East Annshire,1,0
East Ashleyshire,1,1
East Austin,1,0
East Benjaminland,1,0
East Bernard,1,0
East Brittanyland,1,0
East Candace,1,0
East Caseyfort,1,0
East Christophertown,1,0
East Courtneymouth,1,0
East Craig,1,0
East Cynthia,1,0
East Darrell,1,0
East Deborah,1,0
East Deniseborough,1,0
East Donnafort,1,0
East Edwinburgh,1,0
East Elizabeth,1,0
East Elizabethberg,1,0
East Emily,1,1
East Emilyburgh,1,0
East Garyton,1,0
East Heather,1,0
East Heatherport,1,0
East Jacobchester,1,0
East Janet,1,0
East Jesse,1,0
East John,1,1
East Johnburgh,1,0
East Joseph,1,1
East Kevin,1,1
East Kimberly,1,0
East Laura,1,0
East Laurashire,1,0
East Lauren,1,0
East Lindsayville,1,0
East Lori,1,0
East Meganfort,1,0
East Michael,1,2
East Michelle,1,0
East Nicholasbury,1,0
East Phillipton,1,0
East Richardside,1,0
East Robert,1,1
East Roberthaven,1,0
East Robertton,1,0
East Rossside,1,0
East Samantha,1,0
East Sandra,1,0
East Sandratown,1,0
East Shanestad,1,0
East Sheena,1,0
East Sonyaport,1,0
East Stephanieview,1,0
East Tammy,1,0
East Terrancemouth,1,0
East Timothy,1,0
East Williamburgh,1,0
East Williamshire,1,0
Edwardsbury,1,0
Elliottberg,1,0
Ericfort,1,0
Erikatown,1,0
Estradafort,1,0
Evansmouth,1,0
Fisherstad,1,0
Flemingport,1,0
Floresville,1,0
Fowlerbury,1,0
Francisshire,1,0
Frederickside,1,0
Frostberg,1,0
Fullerborough,1,0
Gaineschester,1,0
Galvanfurt,1,0
Garciaberg,1,0
Garciamouth,1,0
Garciaport,1,0
Garciaside,1,0
Garciatown,1,0
Gardnerfort,1,0
Garzaville,1,0
Gibsonfort,1,0
Ginaview,1,1
Gomezfurt,1,0
Gonzalesport,1,0
Grahamside,1,0
Gutierrezshire,1,0
Hamiltontown,1,0
Harrishaven,1,0
Harrisonbury,1,0
Hawkinsmouth,1,0
Hayesville,1,0
Heathborough,1,0
Heathermouth,1,0
Heatherside,1,0
Heatherview,1,0
Henrychester,1,0
Herbertbury,1,0
Hestermouth,1,0
Hillburgh,1,0
Hollyhaven,1,0
Holtmouth,1,0
Huberstad,1,0
Huntermouth,1,1
Jameschester,1,0
Jamesfurt,1,0
Jamesview,1,1
Jamesville,1,0
Janetborough,1,0
Jasmineberg,1,0
Jasminechester,1,0
Jasonland,1,0
Jasonmouth,1,0
Jasonstad,1,0
Jefferyside,1,0
Jeffreyburgh,1,0
Jeffreybury,1,0
Jeffreyport,1,0
Jeffreyshire,1,0
Jennifertown,1,0
Jenniferview,1,0
Jenniferville,1,0
Jeremiahfort,1,0
Jessestad,1,0
Jessicaland,1,1
Jimmyberg,1,0
Jimmymouth,1,0
Johnport,1,0
Johnsonborough,1,0
Johnsonside,1,0
Johnstonhaven,1,0
Johnton,1,0
Jonathanhaven,1,0
Jonathanmouth,1,0
Joneshaven,1,0
Jonesport,1,0
Jonestown,1,0
Jordanberg,1,0
Jordanborough,1,0
Jordanhaven,1,0
Josephburgh,1,0
Joseville,1,0
Joshuastad,1,0
Judystad,1,0
Justinhaven,1,0
Kaitlynville,1,0
Karentown,1,0
Katherineborough,1,0
Katherinefurt,1,0
Kayleefort,1,0
Keithburgh,1,0
Kellyberg,1,0
Kellytown,1,0
Kennedychester,1,0
Kentland,1,0
Kevinfort,1,0
Kimberlychester,1,0
Kylehaven,1,0
Lake Alexis,1,0
Lake Alicia,1,0
Lake Allen,1,0
Lake Amymouth,1,0
Lake Andrewmouth,1,0
Lake Anthonyport,1,0
Lake April,1,0
Lake Bianca,1,0
Lake Brendaland,1,0
Lake Carlos,1,0
Lake Cathy,1,0
Lake Charleston,1,0
Lake Cheryl,1,0
Lake Chloeshire,1,0
Lake Christinaborough,1,0
Lake Christopherburgh,1,0
Lake Christophermouth,1,0
Lake Coryhaven,1,0
Lake Deborah,1,0
Lake Dennischester,1,0
Lake Devon,1,0
Lake Diane,1,0
Lake Donaldchester,1,0
Lake Donaldmouth,1,0
Lake Donna,1,0
Lake Ethanview,1,0
Lake Gary,1,0
Lake George,1,0
Lake Heather,1,0
Lake Jaclyn,1,0
Lake James,1,0
Lake Jamestown,1,0
Lake Jasmin,1,0
Lake Jason,1,0
Lake Jefferyborough,1,0
Lake Jeffreytown,1,0
Lake Jessicamouth,1,0
Lake Jesusview,1,0
Lake Joelshire,1,0
Lake Joseph,1,0
Lake Josephton,1,0
Lake Justin,1,0
Lake Karenfurt,1,0
Lake Kari,1,0
Lake Katherinechester,1,0
Lake Kelly,1,0
Lake Kendramouth,1,0
Lake Kristentown,1,0
Lake Larry,1,0
Lake Latasha,1,0
Lake Lauraton,1,0
Lake Lauren,1,0
Lake Lindsay,1,0
Lake Lindsey,1,0
Lake Lisa,1,0
Lake Lorrainefort,1,0
Lake Maria,1,0
Lake Michaelchester,1,0
Lake Michaelfurt,1,0
Lake Michaelview,1,0
Lake Mistyton,1,0
Lake Monique,1,0
Lake Nathan,1,0
Lake Nicolebury,1,0
Lake Rachael,1,0
Lake Raymondton,1,0
Lake Richardhaven,1,0
Lake Ryanbury,1,0
Lake Sarah,1,0
Lake Shelby,1,0
Lake Stephen,1,0
Lake Tamara,1,0
Lake Theresa,1,0
Lake Traceyburgh,1,0
Lake Travis,1,0
Lake Vanessa,1,0
Lake Vanessaland,1,0
Lake Xavierburgh,1,0
Lamberttown,1,0
Latoyaberg,1,0
Laurietown,1,0
Leeburgh,1,0
Leonardborough,1,0
Leonfort,1,0
Lesterstad,1,0
Leville,1,0
Levytown,1,0
Lewisberg,1,0
Lewishaven,1,0
Liberg,1,0
Linchester,1,0
Lindseybury,1,0
Lindseyland,1,0
Lisaborough,1,1
Lisafort,1,0
Lisamouth,1,0
Longland,1,0
Lopezmouth,1,0
Lopezport,1,0
Louismouth,1,0
Lucasmouth,1,0
Madelinechester,1,0
Madisonfort,1,0
Manningshire,1,0
Manuelhaven,1,0
Marcstad,1,0
Marissaville,1,0
Markberg,1,0
Markborough,1,0
Markport,1,0
Marthaside,1,0
Martinezfort,1,0
Martinville,1,0
Marymouth,1,0
Matthewbury,1,0
Maxwellburgh,1,0
Maynardstad,1,0
Maysside,1,0
Mcclainfurt,1,0
Mckinneymouth,1,0
Medinatown,1,0
Meganshire,1,0
Meghanfurt,1,0
Mendezmouth,1,0
Mendozastad,1,0
Meyersland,1,0
Michaelport,1,0
Michaelton,1,1
Michaelview,1,0
Michellechester,1,0
Mikaylachester,1,0
Millerstad,1,0
Millerview,1,0
Mitchellmouth,1,0
Mooneybury,1,0
Mooremouth,1,0
Mooreview,1,0
Moralesberg,1,0
Moralesside,1,0
Morganhaven,1,0
Morganside,1,0
Morriston,1,0
Mortonfort,1,0
Moseshaven,1,0
Muellermouth,1,0
Murphyberg,1,0
Murrayborough,1,0
Myerschester,1,0
Nathanielbury,1,0
New Aaronberg,1,0
New Baileyfort,1,0
New Billy,1,0
New Bobbytown,1,0
New Calebberg,1,0
New Connorfort,1,0
New Crystal,1,0
New Curtis,1,0
New David,1,0
New Dawnborough,1,0
New Denise,1,0
New Douglas,1,0
New Emily,1,0
New Erica,1,0
New Evanport,1,0
New Frank,1,0
New Ginaborough,1,0
New Hannah,1,0
New Heidi,1,0
New Hollyfurt,1,0
New Jacob,1,0
New Jamesburgh,1,0
New Jason,1,1
New Jenniferbury,1,0
New Jeremyberg,1,0
New Jessica,1,1
New Joel,1,0
New Johnfurt,1,0
New Josemouth,1,0
New Joshuamouth,1,0
New Kevintown,1,0
New Leslieport,1,0
New Matthew,1,0
New Michaelmouth,1,0
New Michelle,1,0
New Monicaside,1,0
New Natasha,1,0
New Ninashire,1,0
New Rachel,1,0
New Rhonda,1,0
New Ricky,1,0
New Robert,1,1
New Robertland,1,0
New Robertstad,1,0
New Rodneyville,1,0
New Ryanbury,1,0
New Samuel,1,0
New Steven,1,1
New Tammyland,1,0
New Thomasmouth,1,0
New Tiffanystad,1,0
New Travisshire,1,0
New Wendymouth,1,0
New William,1,1
New Willieburgh,1,0
Nicolefort,1,0
Nicoletown,1,0
Nolanmouth,1,0
North Aaron,1,0
North Alison,1,0
North Amanda,1,1
North Amber,1,0
North Bethanyville,1,0
North Biancaview,1,0
North Brendaborough,1,0
North Brentbury,1,0
North Briannabury,1,0
North Brooke,1,0
North Caitlin,1,0
North Carmen,1,0
North Carolfurt,1,0
North Catherine,1,0
North Charlesside,1,0
North Chase,1,0
North Christina,1,2
North Crystal,1,0
North Destiny,1,0
North Douglasfurt,1,0
North Ebony,1,0
North Edwinchester,1,0
North Elizabeth,1,0
North Gary,1,0
North Garybury,1,0
North Ianbury,1,0
North James,1,0
North Jamesberg,1,0
North Jenniferport,1,0
North Joseph,1,0
North Katelyn,1,0
North Katelynland,1,0
North Katherineshire,1,0
North Keith,1,0
North Kennethshire,1,0
North Kennethview,1,0
North Kylestad,1,0
North Lauren,1,0
North Lindseychester,1,0
North Lisaland,1,0
North Lisamouth,1,0
North Mariahchester,1,0
North Marthaton,1,0
North Mary,1,0
North Melanie,1,0
North Mike,1,0
North Nathan,1,0
North Nicholas,1,0
North Nicoleport,1,0
North Paulstad,1,0
North Ravenfurt,1,0
North Richard,1,0
North Ronaldburgh,1,0
North Ronaldmouth,1,0
North Ryan,1,0
North Sharonberg,1,0
North Sharonburgh,1,0
North Sherrimouth,1,0
North Stephanieville,1,0
North Steven,1,0
North Stevenbury,1,0
North Susan,1,0
North Tom,1,0
North Tracy,1,0
North Valerie,1,0
North Victoriastad,1,0
North William,1,0
Olsenstad,1,0
Owenschester,1,0
Owensstad,1,0
Padillamouth,1,0
Padillatown,1,0
Pamelaberg,1,0
Pamelaburgh,1,0
Parksburgh,1,0
Patrickfort,1,1
Patrickmouth,1,0
Paulmouth,1,1
Pearsonchester,1,0
Penabury,1,0
Perezport,1,1
Pereztown,1,0
Perkinsbury,1,0
Peterhaven,1,1
Petersonburgh,1,0
Petersonside,1,0
Phillipsmouth,1,0
Port Aaron,1,0
Port Allisonland,1,0
Port Amandamouth,1,0
Port Andre,1,0
Port Andrea,1,0
Port Anita,1,0
Port Brett,1,0
Port Bryce,1,0
Port Carrie,1,0
Port Christina,1,0
Port Christopher,1,0
Port Connie,1,0
Port Corystad,1,0
Port Daniel,1,0
Port Daniellechester,1,0
Port David,1,1
Port Davidshire,1,0
Port Dianaberg,1,0
Port Donnamouth,1,0
Port Donnaton,1,0
Port Dustin,1,1
Port Emily,1,0
Port Emilyburgh,1,0
Port Eric,1,0
Port Erin,1,0
Port Erinton,1,0
Port Glendastad,1,0
Port Gregton,1,0
Port Hannah,1,0
Port Hannahmouth,1,0
Port Heidiland,1,0
Port Jacob,1,0
Port Jeffrey,1,0
Port Jennifer,1,0
Port Jerome,1,0
Port Jillian,1,0
Port John,1,0
Port Julia,1,0
Port Juliafort,1,0
Port Karen,1,0
Port Kathleen,1,0
Port Kendraborough,1,0
Port Kevinburgh,1,0
Port Lance,1,0
Port Lauraville,1,0
Port Lauriechester,1,0
Port Leahfurt,1,0
Port Lesliebury,1,0
Port Linda,1,0
Port Lisamouth,1,0
Port Loganberg,1,0
Port Manuel,1,0
Port Marcland,1,0
Port Mariefort,1,0
Port Marissachester,1,0
Port Markview,1,0
Port Matthew,1,0
Port Melanie,1,0
Port Michael,1,0
Port Michaelshire,1,0
Port Pamelaport,1,0
Port Peter,1,0
Port Raymondburgh,1,0
Port Rebekah,1,0
Port Richardshire,1,0
Port Robert,1,0
Port Robertport,1,0
Port Robin,1,0
Port Ronaldshire,1,0
Port Rubenville,1,0
Port Staceymouth,1,0
Port Tanyaburgh,1,0
Port Timothystad,1,0
Port Troychester,1,0
Port Victoria,1,0
Priceland,1,0
Ramosville,1,0
Ramseyfort,1,0
Randallchester,1,0
Randallville,1,0
Raybury,1,0
Raymondview,1,0
Rebeccaburgh,1,0
Rebeccabury,1,0
Reidland,1,0
Reyesshire,1,0
Reynoldsbury,1,0
Riceshire,1,0
Richardfort,1,0
Richardmouth,1,0
Richardsonhaven,1,0
Richardton,1,1
Richchester,1,0
Richton,1,0
Ritterburgh,1,0
Roachhaven,1,0
Robertland,1,0
Robertschester,1,0
Robertshire,1,0
Robertsonfort,1,0
Robertton,1,2
Robinsonfort,1,0
Rodneystad,1,0
Rodriguezfurt,1,0
Rodriguezview,1,0
Rogersmouth,1,0
Roystad,1,0
Ruizmouth,1,0
Russellfurt,1,0
Salastown,1,0
Salinasville,1,0
Samanthabury,1,0
Samueltown,1,0
Samuelville,1,0
Sandersshire,1,0
Sandrastad,1,0
Saraburgh,1,0
Sarahland,1,0
Sarahside,1,1
Sarahview,1,0
Scottchester,1,0
Scotthaven,1,0
Scottton,1,0
Shannonside,1,0
Sharonton,1,0
Shawnborough,1,0
Sheenashire,1,0
Sheilaburgh,1,0
Shirleyland,1,0
Shortfurt,1,0
Smithfort,1,0
Smithmouth,1,0
Smithstad,1,1
Snyderton,1,0
Solisburgh,1,0
South Alicia,1,0
South Allison,1,0
South Allisonburgh,1,0
South Andrew,1,0
South Andrewport,1,0
South Anne,1,0
South Bradleyburgh,1,0
South Brandiberg,1,0
South Brenda,1,0
South Bryan,1,0
South Cassandra,1,0
South Charles,1,0
South Crystalberg,1,0
South Danielle,1,0
South Davidside,1,0
South Donald,1,0
South Douglashaven,1,0
South Edwardtown,1,0
South Jacobport,1,0
South Jasmineville,1,0
South Jason,1,1
South Jeffery,1,0
South Jeffrey,1,0
South Jeffreyburgh,1,0
South Jerryside,1,0
South Jessicachester,1,0
South Jillshire,1,0
South Johnshire,1,0
South Joshua,1,0
South Justinborough,1,0
South Karen,1,0
South Kathryn,1,0
South Kayla,1,0
South Kelly,1,0
South Kellyberg,1,0
South Kellyland,1,0
South Kellyville,1,0
South Kendra,1,0
South Kevinhaven,1,0
South Linda,1,0
South Lisaberg,1,0
South Lisabury,1,0
South Louis,1,0
South Marthahaven,1,0
South Melanieshire,1,0
South Michaelberg,1,0
South Michaelhaven,1,0
South Michellechester,1,0
South Morganfurt,1,0
South Nicholasville,1,0
South Nicole,1,0
South Randy,1,0
South Richard,1,1
South Richardhaven,1,0
South Robert,1,0
South Russelltown,1,0
South Sarahville,1,0
South Sarastad,1,0
South Stefanietown,1,0
South Tammy,1,0
South Thomasville,1,0
South Tiffanyfort,1,0
South Tina,1,0
South Tylerstad,1,0
South William,1,1
South Zacharymouth,1,0
Spenceland,1,0
Steeleport,1,0
Stephanieberg,1,1
Stevenchester,1,0
Stevensborough,1,0
Steventown,1,0
Steveport,1,0
Stewartfurt,1,0
Strongmouth,1,0
Suzanneport,1,0
Sylviabury,1,0
Tamaraside,1,0
Tammystad,1,0
Taylorchester,1,0
Taylorfort,1,1
Taylormouth,1,0
Thomasfurt,1,0
Thomasville,1,0
Thorntonbury,1,0
Timothychester,1,0
Timothyview,1,0
Tinamouth,1,0
Toddberg,1,0
Toddstad,1,1
Torresfort,1,0
Torresshire,1,0
Tracyfort,1,0
Tylerburgh,1,0
Tylerton,1,0
Tyronebury,1,0
Valdezborough,1,0
Valentineside,1,0
Valenzuelaville,1,0
Vazquezland,1,0
Vazquezshire,1,0
Velazquezview,1,0
Villaborough,1,0
Villastad,1,0
Wadeville,1,0
Walkerfurt,1,0
Walterborough,1,0
Walterton,1,0
Wardton,1,0
Washingtonville,1,0
Watsonstad,1,0
Watsonton,1,0
Weberfurt,1,0
West Abigailtown,1,0
West Adam,1,0
West Adammouth,1,0
West Aliciabury,1,0
West Amanda,1,0
West Amandafurt,1,0
West Anthonymouth,1,0
West Ashleytown,1,0
West Benjamin,1,0
West Billborough,1,0
West Brandon,1,0
West Carolyn,1,0
West Catherine,1,0
West Charlesborough,1,0
West Cherylfort,1,0
West Corey,1,0
West Daniel,1,0
West Danielborough,1,0
West Danieltown,1,0
West Dannyland,1,0
West Dawn,1,0
West Elizabethport,1,0
West Erinport,1,0
West Hunter,1,0
West James,1,2
West Jeffreyland,1,0
West Juliabury,1,0
West Julianburgh,1,0
West Kara,1,0
West Karen,1,0
West Kelli,1,0
West Kenneth,1,0
West Kevin,1,1
West Larry,1,0
West Lisamouth,1,0
West Lucasville,1,0
West Margaretfort,1,0
West Matthew,1,0
West Melissa,1,0
West Melissastad,1,0
West Miaside,1,0
West Michael,1,0
West Omar,1,0
West Omarside,1,0
West Pamelaborough,1,0
West Peter,1,0
West Peterborough,1,0
West Phillip,1,0
West Robert,1,1
West Samantha,1,0
West Samuelfurt,1,0
West Sharonview,1,0
West Stephaniemouth,1,0
West Stephen,1,0
West Stephenside,1,0
West Stevenport,1,0
West Tammy,1,0
West Theresaberg,1,0
West Thomas,1,0
West Tinamouth,1,0
West Trevorview,1,0
West Tylerberg,1,0
West Vanessafort,1,0
West Whitneymouth,1,0
Westbury,1,0
Westmouth,1,0
Wheelermouth,1,0
Williamland,1,0
Williammouth,1,0
Williamschester,1,0
Williamsfort,1,2
Williamsland,1,0
Williamsmouth,1,0
Williamsonmouth,1,0
Williamsshire,1,0
Wilsonport,1,0
Wilsonview,1,0
Woodport,1,0
Wrightville,1,0
Yatesside,1,0
Youngchester,1,0
Zimmermanton,1,0
Adambury,1,0
Zimmermanville,1,0
Adamsview,1,0
Adamsville,1,0
Aguirreville,1,0
Alexanderchester,1,0
Alexanderstad,1,0
Allenborough,1,1
Allenton,1,0
Amandaborough,1,0
Amandashire,1,0
Amberton,1,0
Ambertown,1,0
Amyport,1,0
Andersonmouth,1,0
Andersonville,1,0
Andreaborough,1,0
Andrewsmouth,1,0
Andrewstad,1,0
Anitashire,1,0
Annahaven,1,0
Annetteburgh,1,0
Anneville,1,0
Anthonyborough,1,0
Anthonychester,1,0
Anthonyfort,1,0
Anthonyhaven,1,0
Anthonyshire,1,0
Anthonyton,1,0
Aprilberg,1,0
Arnoldmouth,1,0
Ashleyhaven,1,0
Ashleyton,1,0
Bairdfort,1,0
Baldwinshire,1,0
Barkerborough,1,0
