"Food_ID","Food_Name","Food_Type","Meal_Type","Location","number_of_claims","available_quantity"
463,Soup,Vegan,Lunch,Jamesfurt,5,36
486,Chicken,Vegan,Snacks,Timothychester,5,9
548,Fish,Vegan,Snacks,North William,5,26
925,Salad,Non-Vegetarian,Lunch,West Billborough,4,12
981,Dairy,Vegan,Breakfast,Stevenchester,4,47
251,Dairy,Non-Vegetarian,Lunch,Devinmouth,4,12
92,Chicken,Vegetarian,Breakfast,East Heatherport,4,42
190,Salad,Non-Vegetarian,Snacks,New Carol,4,25
674,Vegetables,Vegetarian,Lunch,Anneville,4,34
35,Rice,Vegan,Breakfast,East Austin,4,6
696,Rice,Non-Vegetarian,Snacks,East Heatherport,4,26
886,Bread,Vegetarian,Breakfast,South Justinborough,4,48
797,Dairy,Vegan,Breakfast,Phillipsfort,4,40
832,Fish,Non-Vegetarian,Breakfast,East Heatherport,4,19
520,Fish,Non-Vegetarian,Breakfast,New Baileyfort,4,23
882,Salad,Vegan,Lunch,North Sherrimouth,4,43
217,Soup,Vegetarian,Lunch,Bradleyport,4,42
915,Vegetables,Non-Vegetarian,Snacks,Port Karen,4,35
861,Dairy,Non-Vegetarian,Dinner,Roachhaven,4,45
964,Rice,Vegan,Dinner,Leslieville,3,46
16,Dairy,Vegan,Snacks,East Tammy,3,6
622,Fish,Vegan,Snacks,Jordanborough,3,17
615,Salad,Vegetarian,Breakfast,Lake Theresa,3,11
241,Fish,Vegetarian,Breakfast,East Candace,3,4
465,Rice,Vegetarian,Snacks,Darrylchester,3,32
798,Fish,Vegetarian,Lunch,North Mike,3,3
743,Chicken,Vegan,Breakfast,Brittanyside,3,46
380,Soup,Non-Vegetarian,Snacks,Harrisonbury,3,26
744,Fish,Non-Vegetarian,Snacks,North Katelyn,3,13
606,Pasta,Vegetarian,Dinner,New Ginaborough,3,36
579,Dairy,Vegetarian,Breakfast,Lake Stephen,3,44
374,Chicken,Vegan,Lunch,South Kathryn,3,44
670,Salad,Non-Vegetarian,Snacks,Toddstad,3,37
730,Soup,Vegan,Lunch,Lewisberg,3,15
870,Fish,Vegetarian,Breakfast,Cameronside,3,3
460,Dairy,Vegetarian,Dinner,Vazquezshire,3,45
505,Pasta,Vegetarian,Snacks,New Denise,3,12
837,Soup,Vegan,Snacks,Lesterstad,3,50
427,Soup,Non-Vegetarian,Lunch,Adambury,3,34
224,Fruits,Non-Vegetarian,Snacks,Brittanyland,3,29
479,Salad,Vegetarian,Breakfast,Basstown,3,2
912,Dairy,Non-Vegetarian,Breakfast,South Jillshire,3,6
233,Fish,Non-Vegetarian,Snacks,West Adammouth,3,19
188,Soup,Vegan,Breakfast,Danachester,3,4
558,Chicken,Vegetarian,Snacks,Port Kevinburgh,3,32
909,Fish,Vegan,Snacks,Lewishaven,3,10
599,Fruits,Vegetarian,Lunch,Muellermouth,3,19
115,Pasta,Vegan,Lunch,East Bernard,3,8
609,Bread,Vegetarian,Breakfast,West Karen,3,38
30,Soup,Vegetarian,Dinner,Clarkberg,3,4
84,Rice,Vegan,Snacks,Coleburgh,3,25
945,Vegetables,Vegetarian,Breakfast,South Stefanietown,3,16
345,Pasta,Vegan,Lunch,Thomasville,3,14
398,Dairy,Non-Vegetarian,Snacks,North Katherineshire,3,27
937,Bread,Non-Vegetarian,Lunch,Patrickfort,3,18
632,Fruits,Vegan,Breakfast,North Stevenbury,3,45
230,Fruits,Vegetarian,Breakfast,Zimmermanville,3,17
101,Dairy,Non-Vegetarian,Dinner,Jasonmouth,3,35
271,Rice,Vegan,Breakfast,Reidland,3,22
297,Pasta,Non-Vegetarian,Breakfast,East Roberthaven,3,46
96,Dairy,Non-Vegetarian,Breakfast,South Tiffanyfort,3,5
152,Fish,Non-Vegetarian,Dinner,North Kevinhaven,3,46
107,Salad,Vegetarian,Breakfast,Port Jacob,3,29
528,Chicken,Vegan,Snacks,Williamsmouth,3,6
786,Rice,Vegetarian,Dinner,North Victoriastad,3,4
58,Pasta,Vegan,Lunch,Cunninghambury,3,39
952,Pasta,Vegan,Dinner,West Lauraborough,3,32
174,Chicken,Vegan,Breakfast,Lake Kari,3,23
258,Fish,Vegetarian,Breakfast,East Angelafort,3,24
256,Rice,Non-Vegetarian,Dinner,Jamesfurt,3,33
151,Chicken,Vegetarian,Dinner,Port Robertport,3,19
822,Dairy,Vegan,Lunch,Frederickside,3,27
636,Fish,Non-Vegetarian,Lunch,North James,3,11
214,Soup,Vegan,Breakfast,Hestermouth,3,9
947,Bread,Vegetarian,Breakfast,East John,3,29
335,Rice,Non-Vegetarian,Snacks,Jeffreyshire,3,38
215,Bread,Vegetarian,Snacks,Lake Andrewmouth,3,50
560,Fruits,Non-Vegetarian,Snacks,North Stevenbury,2,41
390,Soup,Non-Vegetarian,Lunch,New Richard,2,19
572,Bread,Vegetarian,Dinner,Port Markview,2,46
22,Chicken,Vegan,Snacks,Russellfurt,2,46
932,Pasta,Vegetarian,Dinner,Jordanborough,2,11
911,Fish,Vegetarian,Dinner,Lake Shelby,2,5
690,Fruits,Vegetarian,Breakfast,New Bobbytown,2,43
474,Rice,Vegetarian,Dinner,New Curtis,2,5
326,Soup,Vegan,Dinner,North Charlesside,2,25
820,Fruits,Non-Vegetarian,Lunch,South Randy,2,46
826,Bread,Vegan,Snacks,West Danielborough,2,39
410,Salad,Non-Vegetarian,Snacks,New Carol,2,21
657,Rice,Vegan,Lunch,South Bradleyburgh,2,14
991,Vegetables,Vegetarian,Dinner,Carolchester,2,7
600,Rice,Non-Vegetarian,Snacks,Chelseaside,2,39
485,Salad,Vegan,Lunch,Shirleyland,2,50
110,Salad,Vegan,Dinner,South Alicia,2,49
594,Chicken,Non-Vegetarian,Breakfast,Watsonstad,2,35
920,Soup,Vegetarian,Snacks,Youngchester,2,2
97,Rice,Vegetarian,Dinner,Thomasville,2,44
544,Soup,Non-Vegetarian,Dinner,East Sandratown,2,36
771,Chicken,Vegetarian,Dinner,East Sandratown,2,9
851,Fruits,Non-Vegetarian,Snacks,New Aaronberg,2,35
917,Soup,Vegan,Dinner,Heatherview,2,15
705,Fruits,Non-Vegetarian,Breakfast,Christinamouth,2,39
715,Soup,Non-Vegetarian,Breakfast,South Lisaberg,2,21
682,Pasta,Vegetarian,Snacks,West Adam,2,30
940,Fish,Vegan,Lunch,Pereztown,2,36
574,Vegetables,Non-Vegetarian,Breakfast,South Bradleyburgh,2,17
216,Vegetables,Vegetarian,Dinner,Port Emilyburgh,2,33
807,Salad,Vegetarian,Dinner,South Nicole,2,35
791,Soup,Vegetarian,Breakfast,South Jacobport,2,23
89,Chicken,Vegan,Lunch,Olsenstad,2,3
49,Fish,Non-Vegetarian,Dinner,Morriston,2,41
406,Salad,Vegetarian,Snacks,Stephanieberg,2,28
163,Bread,Vegetarian,Dinner,East Terrancemouth,2,45
534,Vegetables,Non-Vegetarian,Dinner,Longland,2,34
52,Vegetables,Non-Vegetarian,Snacks,Lake Justin,2,23
294,Bread,Vegan,Dinner,East Elizabethberg,2,40
419,Rice,Vegetarian,Breakfast,Port Donnaton,2,26
969,Soup,Non-Vegetarian,Lunch,East Garyton,2,50
929,Bread,Vegan,Lunch,Taylormouth,2,23
507,Chicken,Vegetarian,Lunch,Christopherton,2,43
762,Soup,Vegetarian,Snacks,Port Amandamouth,2,4
403,Bread,Non-Vegetarian,Breakfast,South Michaelberg,2,25
165,Bread,Vegetarian,Lunch,Lake Kristentown,2,22
958,Soup,Vegetarian,Lunch,Woodport,2,19
531,Salad,Vegan,Lunch,Port Robin,2,42
94,Rice,Vegetarian,Lunch,Linchester,2,35
926,Rice,Vegetarian,Snacks,Andreaborough,2,41
180,Salad,Vegan,Dinner,Lake Christopherburgh,2,35
65,Fruits,Non-Vegetarian,Breakfast,North Destiny,2,45
801,Chicken,Vegan,Lunch,South Christopherborough,2,50
844,Fish,Non-Vegetarian,Dinner,Brownshire,2,46
168,Salad,Non-Vegetarian,Lunch,North Keith,2,26
626,Salad,Non-Vegetarian,Breakfast,New Dawnborough,2,37
153,Fish,Vegetarian,Breakfast,Port Andrea,2,20
624,Fish,Non-Vegetarian,Breakfast,Bentonfurt,2,10
320,Vegetables,Vegetarian,Lunch,North Douglasfurt,2,26
371,Bread,Non-Vegetarian,Lunch,New John,2,34
973,Fruits,Non-Vegetarian,Breakfast,Keithburgh,2,7
839,Chicken,Vegan,Lunch,Jasonstad,2,6
160,Rice,Vegetarian,Snacks,Deckermouth,2,27
418,Vegetables,Non-Vegetarian,Lunch,Maysside,2,19
353,Fruits,Non-Vegetarian,Lunch,Deborahfurt,2,5
373,Rice,Non-Vegetarian,Lunch,Phillipsfort,2,39
73,Soup,Vegan,Breakfast,East Andrea,2,48
227,Vegetables,Non-Vegetarian,Breakfast,Jonestown,2,25
877,Chicken,Non-Vegetarian,Lunch,Steeleport,2,8
623,Salad,Vegetarian,Breakfast,New Amanda,2,38
949,Pasta,Vegetarian,Breakfast,Davidville,2,15
684,Rice,Vegetarian,Snacks,Walterborough,2,39
616,Fish,Non-Vegetarian,Dinner,Westmouth,2,35
707,Soup,Vegetarian,Dinner,East Lisa,2,29
806,Soup,Vegetarian,Dinner,Manuelhaven,2,12
114,Vegetables,Vegan,Breakfast,West Kevin,2,28
223,Bread,Vegan,Snacks,West Amandafurt,2,38
415,Vegetables,Vegan,Breakfast,Callahanside,2,18
997,Fish,Vegetarian,Breakfast,Andersonmouth,2,22
50,Salad,Vegetarian,Dinner,Maxwellburgh,2,28
446,Bread,Non-Vegetarian,Snacks,Brittanyville,2,9
379,Rice,Vegetarian,Lunch,North Ianbury,2,14
906,Soup,Vegan,Snacks,Lake Jessicamouth,2,17
596,Fish,Non-Vegetarian,Lunch,North Crystal,2,44
435,Chicken,Non-Vegetarian,Lunch,Aprilberg,2,26
23,Salad,Vegan,Dinner,New Jessica,2,43
892,Bread,Vegetarian,Dinner,Kevinfort,2,42
56,Vegetables,Non-Vegetarian,Lunch,Lake April,2,9
475,Pasta,Vegetarian,Dinner,Donnaborough,2,13
128,Rice,Vegetarian,Snacks,Gutierrezshire,2,39
262,Dairy,Vegetarian,Breakfast,Raybury,2,47
116,Soup,Vegetarian,Lunch,Lake Vanessa,2,32
565,Pasta,Non-Vegetarian,Lunch,Bentleyburgh,2,36
476,Fruits,Non-Vegetarian,Dinner,East Stephanie,2,2
633,Salad,Vegan,Snacks,Lake Michael,2,19
290,Dairy,Non-Vegetarian,Lunch,Lake Andrewmouth,2,19
673,Rice,Vegan,Lunch,Williamsmouth,2,28
203,Pasta,Vegetarian,Breakfast,New Curtis,2,8
765,Soup,Vegan,Lunch,Perezport,2,1
855,Salad,Vegetarian,Lunch,Zimmermanville,2,28
275,Fish,Non-Vegetarian,Breakfast,Davidland,2,35
226,Rice,Non-Vegetarian,Snacks,Michaelport,2,26
37,Fish,Non-Vegetarian,Dinner,Davidborough,2,19
59,Vegetables,Vegan,Snacks,East Terrancemouth,2,38
381,Pasta,Vegan,Dinner,New Michelle,2,35
515,Dairy,Vegan,Lunch,New Evanport,2,10
935,Vegetables,Vegetarian,Dinner,Collinsmouth,2,24
207,Salad,Vegetarian,Dinner,Lake Lorrainefort,2,42
812,Bread,Non-Vegetarian,Lunch,Charlesmouth,2,49
109,Fruits,Vegan,Dinner,Joshuastad,2,7
924,Fish,Vegetarian,Dinner,New Travisshire,2,3
828,Vegetables,Non-Vegetarian,Breakfast,West Omarside,2,21
602,Chicken,Non-Vegetarian,Breakfast,Erikatown,2,15
836,Salad,Vegan,Breakfast,Maysside,2,49
879,Chicken,Non-Vegetarian,Dinner,Edwardsbury,2,21
853,Rice,Vegan,Snacks,Lake Tamara,2,18
778,Dairy,Non-Vegetarian,Snacks,Port Robin,2,7
663,Dairy,Vegan,Snacks,Lake Andrewmouth,2,42
611,Vegetables,Vegetarian,Snacks,East Stephanie,2,40
977,Vegetables,Vegan,Dinner,Maxwellburgh,2,12
813,Fish,Vegetarian,Breakfast,Allenton,2,33
695,Fruits,Vegetarian,Breakfast,East John,2,17
25,Rice,Vegan,Breakfast,Medinatown,2,48
508,Dairy,Vegan,Lunch,East John,2,42
9,Bread,Non-Vegetarian,Snacks,East Andrewland,2,46
896,Vegetables,Vegetarian,Snacks,Batesstad,2,32
866,Fish,Vegetarian,Dinner,Lindseyland,2,7
496,Chicken,Vegetarian,Dinner,Pearsonchester,2,22
304,Fish,Vegetarian,Dinner,Richardsonhaven,2,5
819,Bread,Non-Vegetarian,Breakfast,Port Marcland,2,35
782,Rice,Non-Vegetarian,Snacks,New Rachel,2,49
302,Bread,Vegan,Snacks,Yatesside,2,31
199,Vegetables,Vegan,Breakfast,Toddberg,2,16
413,Salad,Vegetarian,Lunch,Lake Andrewmouth,2,31
299,Dairy,Non-Vegetarian,Lunch,Port Victoria,2,14
444,Dairy,Non-Vegetarian,Lunch,Amberton,2,27
529,Dairy,Non-Vegetarian,Dinner,West Melissastad,2,48
502,Dairy,Vegan,Lunch,East Meganfort,2,40
962,Soup,Vegetarian,Breakfast,Marymouth,2,13
164,Dairy,Vegan,Dinner,Carolchester,2,22
284,Vegetables,Vegetarian,Breakfast,Perezport,2,36
156,Fish,Vegetarian,Snacks,Jeffreybury,2,24
225,Fish,Vegan,Dinner,Murrayborough,2,26
166,Soup,Vegan,Lunch,North Kevinhaven,2,9
175,Dairy,Vegetarian,Breakfast,Johnton,2,26
683,Soup,Vegetarian,Dinner,Shortfurt,2,28
921,Chicken,Vegetarian,Snacks,Marissaville,2,6
640,Pasta,Non-Vegetarian,Breakfast,Smithfort,2,2
494,Bread,Vegetarian,Breakfast,Port Emily,2,41
69,Bread,Vegetarian,Snacks,Gaineschester,2,47
457,Soup,Non-Vegetarian,Lunch,Louismouth,2,30
141,Dairy,Non-Vegetarian,Lunch,Lake Mistyton,2,33
206,Rice,Non-Vegetarian,Breakfast,South Allisonburgh,2,28
1,Bread,Non-Vegetarian,Breakfast,South Kellyville,2,43
554,Soup,Non-Vegetarian,Breakfast,North Sharonburgh,2,31
951,Vegetables,Vegan,Lunch,Lake Joseph,2,20
487,Fruits,Vegetarian,Dinner,Jonathanstad,2,43
984,Chicken,Non-Vegetarian,Dinner,New Joel,2,26
913,Fruits,Vegetarian,Dinner,Alexanderchester,2,39
904,Chicken,Vegetarian,Breakfast,South Kathryn,2,40
589,Rice,Vegetarian,Dinner,East Samantha,2,49
321,Pasta,Non-Vegetarian,Lunch,Lake Cathy,2,20
504,Rice,Vegetarian,Lunch,Derekport,2,28
902,Salad,Vegan,Snacks,Louismouth,2,34
210,Fruits,Vegetarian,Breakfast,Lake Latasha,2,17
202,Dairy,Vegetarian,Lunch,Lake Amymouth,2,17
893,Salad,Vegan,Lunch,South Lisaberg,2,3
243,Fruits,Non-Vegetarian,Snacks,Michaelton,2,30
179,Bread,Vegetarian,Breakfast,Port Troychester,2,11
950,Pasta,Vegetarian,Snacks,North Katelynland,2,3
253,Rice,Vegan,Snacks,North Tom,2,20
492,Pasta,Vegetarian,Breakfast,Meghanfurt,2,30
385,Pasta,Non-Vegetarian,Dinner,Lake Stephen,2,7
72,Dairy,Vegan,Dinner,Joneshaven,2,11
291,Salad,Vegetarian,Breakfast,Lindseybury,2,12
438,Dairy,Vegetarian,Breakfast,Marthaside,2,46
538,Dairy,Vegetarian,Lunch,Cisnerostown,2,18
918,Dairy,Vegetarian,Breakfast,Marcstad,1,8
825,Salad,Vegetarian,Breakfast,Manningshire,1,25
200,Bread,Non-Vegetarian,Dinner,Woodport,1,3
6,Vegetables,Vegan,Snacks,South Johnshire,1,4
134,Rice,Vegan,Dinner,Brittanyville,1,1
732,Soup,Vegan,Dinner,Port Anita,1,29
938,Vegetables,Vegan,Breakfast,Penabury,1,7
408,Soup,Non-Vegetarian,Breakfast,South Jerryside,1,42
310,Rice,Vegan,Dinner,Markport,1,13
543,Fruits,Vegan,Dinner,South Tylerstad,1,9
464,Fish,Vegetarian,Lunch,Sandrastad,1,27
319,Chicken,Vegetarian,Snacks,Mcclainfurt,1,47
131,Fish,Vegan,Dinner,Devinmouth,1,16
154,Pasta,Vegan,Breakfast,Mendezmouth,1,46
517,Dairy,Vegan,Dinner,East Deniseborough,1,4
910,Salad,Vegetarian,Breakfast,Rogersmouth,1,37
564,Fish,Non-Vegetarian,Lunch,Anneville,1,29
619,Pasta,Vegan,Snacks,New Evanport,1,46
13,Fruits,Vegetarian,Snacks,Floresville,1,33
469,Vegetables,Vegetarian,Snacks,Manuelhaven,1,7
735,Fish,Non-Vegetarian,Snacks,Castilloport,1,2
764,Vegetables,Vegetarian,Breakfast,Tinamouth,1,21
563,Pasta,Non-Vegetarian,Lunch,Brandyberg,1,37
327,Dairy,Vegetarian,Breakfast,Harrishaven,1,24
407,Chicken,Vegetarian,Lunch,Blaketown,1,32
747,Dairy,Vegan,Lunch,North Julieburgh,1,39
992,Salad,Vegan,Breakfast,Lake Coryhaven,1,25
161,Vegetables,Non-Vegetarian,Breakfast,New Matthew,1,32
717,Salad,Non-Vegetarian,Breakfast,East Austin,1,40
988,Soup,Vegan,Lunch,Wadeville,1,44
298,Chicken,Vegetarian,Lunch,New Jacob,1,2
86,Soup,Vegetarian,Dinner,Maynardstad,1,13
45,Fish,Non-Vegetarian,Lunch,Priceland,1,17
148,Pasta,Non-Vegetarian,Breakfast,Garzaville,1,16
178,Dairy,Vegan,Breakfast,Williamsonmouth,1,47
811,Salad,Non-Vegetarian,Dinner,West Larry,1,19
461,Pasta,Vegetarian,Dinner,Port Davidshire,1,10
714,Pasta,Vegetarian,Lunch,Zimmermanton,1,5
307,Chicken,Non-Vegetarian,Breakfast,Jamesfurt,1,20
187,Dairy,Non-Vegetarian,Snacks,Leeburgh,1,38
261,Pasta,Non-Vegetarian,Lunch,East Courtneymouth,1,15
229,Pasta,Non-Vegetarian,Dinner,Paulmouth,1,26
559,Salad,Vegan,Dinner,Allenborough,1,18
447,Soup,Vegetarian,Lunch,East Anthony,1,21
36,Rice,Vegan,Breakfast,New Jessica,1,35
799,Chicken,Vegetarian,Breakfast,New Travisshire,1,5
755,Soup,Vegetarian,Dinner,Justinhaven,1,4
784,Bread,Non-Vegetarian,Dinner,North Gary,1,1
972,Vegetables,Vegetarian,Dinner,South Edwardtown,1,21
873,Rice,Vegan,Lunch,Huberstad,1,49
462,Soup,Vegan,Dinner,Christopherstad,1,22
961,Soup,Non-Vegetarian,Lunch,Lake Michaelfurt,1,22
90,Bread,Vegan,Breakfast,East Jacobchester,1,29
100,Vegetables,Vegan,Breakfast,West Kara,1,22
137,Pasta,Vegetarian,Snacks,West Adam,1,29
254,Rice,Non-Vegetarian,Lunch,Lake Jamestown,1,30
677,Dairy,Vegan,Breakfast,North Mariahchester,1,43
597,Dairy,Vegetarian,Lunch,East Angela,1,12
512,Chicken,Vegetarian,Lunch,Garciatown,1,20
391,Bread,Vegan,Lunch,North Edwinchester,1,40
571,Salad,Non-Vegetarian,Breakfast,Lake Traceyburgh,1,39
794,Fruits,Vegan,Snacks,Lake Christophermouth,1,21
824,Bread,Vegetarian,Dinner,East Stephanie,1,12
467,Dairy,Non-Vegetarian,Dinner,New Ricky,1,7
282,Fruits,Non-Vegetarian,Lunch,West Tinamouth,1,27
998,Fruits,Non-Vegetarian,Dinner,New Billy,1,6
55,Vegetables,Vegetarian,Breakfast,Coleburgh,1,19
252,Chicken,Non-Vegetarian,Snacks,East Elizabethberg,1,18
456,Vegetables,Vegetarian,Snacks,Bellport,1,16
608,Vegetables,Non-Vegetarian,Dinner,West Dawn,1,27
708,Rice,Vegan,Lunch,East Amyfurt,1,17
329,Rice,Vegetarian,Dinner,North Ryan,1,42
64,Soup,Non-Vegetarian,Dinner,Lake Travis,1,41
395,Vegetables,Vegan,Lunch,Pamelaberg,1,36
95,Pasta,Vegan,Snacks,New Lisa,1,19
930,Chicken,Vegan,Lunch,Herbertbury,1,33
