"Provider_ID","Provider_Name","Total_Donations_Count","Total_Items_Contributed"
709,Barry Group,6,179
306,"Evans, Wright and Mitchell",4,158
655,Smith Group,5,150
315,Nelson LLC,4,142
678,Ruiz-Oneal,4,140
499,Blankenship-Lewis,3,124
41,Kelly-Ware,3,123
161,Campbell LLC,5,123
262,Bradford-Martinez,4,121
717,Shepherd and Sons,3,116
146,Hampton-Lee,3,116
498,"Jones, Ortega and Rubio",3,115
7,Ortiz-Lee,3,114
139,Johnson-Ray,3,113
846,Miller Inc,4,111
938,Barker LLC,3,110
518,"Hill, Davis and Stewart",3,106
995,Moore Group,4,106
752,Butler-Richardson,4,104
393,Steele Ltd,3,104
478,"Lopez, Roach and Roach",3,102
192,"Hunter, Ballard and Caldwell",3,101
251,Carter-Jones,3,101
98,Hogan-Johnston,3,99
485,Baker-Mcdonald,3,99
332,Cox LLC,4,99
47,Wong-Reese,3,98
242,Aguilar-Frederick,3,98
312,Garcia-Hunter,4,97
888,Schmidt-Alexander,3,97
346,"Phillips, Wolfe and Martin",3,97
705,Brown-Stephens,3,96
4,"Clark, Prince and Williams",3,96
138,"Jones, Rojas and Brown",3,96
826,"Rogers, Harmon and Gordon",3,96
892,Flores-Wade,2,96
357,Carey PLC,3,95
898,Wilson Group,2,94
391,Lambert Ltd,3,94
920,"Hudson, Spence and Perez",2,93
308,Doyle LLC,3,93
5,Coleman-Farley,2,92
208,"Miller, Johnson and Fernandez",2,92
770,Schneider-Suarez,3,92
237,"White, Crawford and Pearson",4,91
783,Cooper LLC,3,90
610,"Kelly, Cummings and Ward",3,90
563,Daniels-Kim,5,90
384,Rogers-Warren,3,89
210,Jones-Miller,3,88
993,Mckinney Ltd,4,88
501,Davis-Kennedy,2,88
176,Allen-Mccullough,3,88
87,"Young, Townsend and Mccarthy",3,87
861,"Rogers, Robbins and Cook",2,87
768,"Davis, Hughes and Leblanc",2,87
609,Torres-Dunlap,2,87
850,"Cooper, Osborn and Clark",2,86
417,"Glover, Wilson and Hudson",2,86
596,"Barnes, Castro and Curtis",3,84
455,Rios Group,3,82
825,"Smith, Lynch and Anderson",3,82
290,"Webb, Phillips and Garcia",2,81
847,"Pollard, Collins and Watson",3,81
205,Thompson Group,2,80
344,"Mcmillan, Gallegos and Perry",2,80
758,Todd Group,3,79
779,Maynard LLC,2,79
57,Cook Group,3,79
910,Lee PLC,2,79
723,Butler-Phillips,2,79
703,Pierce Group,2,78
1,Gonzales-Cochran,2,78
858,"Petersen, Morrison and Woods",2,78
584,Sanders-Hale,2,78
986,"Wilson, Harris and Mayo",2,78
983,"Munoz, Stone and Wallace",2,78
140,Zhang LLC,3,76
71,Jones-Edwards,2,75
484,Nelson-White,2,75
750,Barnes and Sons,2,75
407,Douglas and Sons,2,74
354,Rowe-Arias,2,74
371,"Montgomery, Dominguez and Hopkins",2,74
528,Baird PLC,3,73
632,"Oliver, Ross and Johnson",4,73
253,Gonzales-Keith,2,73
643,Dixon LLC,2,73
113,"Anderson, Nicholson and Bruce",3,73
363,Henry-Terry,2,72
31,Thompson-Kerr,2,72
785,Crane LLC,3,71
365,"Bray, Nguyen and Christensen",2,70
231,Jackson-Robinson,2,70
517,Porter Inc,2,69
835,Smith-Paul,2,69
232,"Snyder, Caldwell and Campbell",2,68
491,Wilkerson-Woods,2,68
287,Carr-Wells,2,68
685,Scott and Sons,2,68
264,Holland and Sons,2,68
196,Owens-Taylor,2,67
890,"Simpson, Mcguire and Brown",3,66
791,Aguilar Group,2,66
368,Smith-Villegas,3,65
523,"Roberts, Howard and Bender",2,65
970,"Lewis, Preston and Price",2,65
554,Jackson Ltd,2,65
602,Cole LLC,2,65
863,Johnson-Mejia,2,64
912,Morrison LLC,2,64
387,Barrera-Ward,3,64
54,"Bennett, Phillips and Green",2,64
319,"Davila, Green and Avila",3,64
62,"Mitchell, Campbell and Jones",3,64
221,Richardson Group,2,64
961,"Davis, Sanchez and Mendez",2,64
347,"Hood, Hoffman and Wright",2,64
162,"Moore, Perez and Young",3,63
697,"Rodriguez, Thomas and Foster",2,63
34,"Cooper, Smith and King",2,63
834,Bruce Inc,2,63
980,Baker Group,2,62
897,Stephens-Braun,2,62
874,Long-Alexander,2,62
967,Miller Inc,3,62
459,Brown Ltd,3,62
421,Glass Inc,2,62
550,"Phelps, Graham and Hayes",3,61
905,Ayers LLC,2,60
631,"Mueller, Savage and Hudson",2,60
101,Chambers-Waters,2,60
810,"Austin, Griffin and Ward",2,59
664,Caldwell PLC,2,59
330,Holloway-Koch,2,59
154,Smith-Turner,3,59
906,Wright LLC,4,59
276,Hodge-Leblanc,2,58
999,Moody Ltd,2,57
66,Lambert-Wilson,2,57
979,Gray PLC,2,57
725,"Nguyen, Chan and Brown",2,56
792,Rogers-Maldonado,2,56
201,Ramirez LLC,2,56
460,"Gutierrez, Anthony and Shannon",3,55
467,"Wilson, Watkins and Moore",2,55
507,Rojas-Cook,2,55
58,"Martin, Tyler and Wilkerson",2,55
904,Smith-Morales,2,55
432,Meyer and Sons,3,55
37,Phelps-Schmidt,2,55
389,Hunt-Lee,2,54
288,Carlson-Mathis,2,53
108,Williams-Cox,3,53
2,"Nielsen, Johnson and Fuller",2,53
135,Dyer Group,2,53
736,Reed LLC,2,52
117,"Morales, Wood and Cox",2,52
538,Beck Inc,2,52
419,"Hanson, Wilkerson and Lee",2,52
556,"Reyes, Houston and Esparza",2,52
504,Small Ltd,2,51
885,"Spears, Anderson and Huffman",2,51
353,Rose-Pearson,2,51
17,Miller Ltd,2,50
238,Decker Group,2,50
185,"Horn, Johnson and Moore",1,50
573,Nelson Ltd,1,50
248,"Oliver, Cross and Gilbert",1,50
157,"Rodriguez, Walker and Singleton",1,50
642,Woodward-Jensen,1,50
619,"Hopkins, Mora and Green",2,50
404,Schmidt Ltd,1,50
909,"Gibbs, Green and Krause",1,50
951,"Hodge, Lee and Washington",1,50
179,"Lucas, Bush and Miller",1,50
494,"Anderson, Adams and Roberts",3,50
240,Marshall Ltd,2,49
712,Payne Inc,1,49
707,"Peterson, Lee and Moore",3,49
403,Bradley-Smith,1,49
20,Drake-Martinez,1,49
471,"Allen, Ramsey and Cortez",1,49
255,"Chapman, Barrett and Lopez",1,49
343,"Harris, Perez and Willis",1,49
873,Parsons and Sons,1,49
566,Cole-Stein,1,49
153,Wu LLC,1,49
908,Martinez-Young,1,48
928,Larson and Sons,2,48
355,Bowman LLC,1,48
763,Manning Ltd,1,48
551,"Holland, Caldwell and Oliver",3,48
901,Galvan Ltd,1,48
292,Lopez-Duffy,1,48
515,"Bowers, Gonzalez and Simmons",2,48
946,"Brock, Newton and Mccormick",1,48
423,Serrano-Lopez,1,48
702,Moreno-Melton,2,48
840,Farmer Ltd,3,48
440,Martinez-Graham,1,48
532,Johnson-Green,2,47
578,Vega Ltd,1,47
634,Morgan-Blackwell,2,47
839,"Roth, Estrada and Vang",1,47
761,"Abbott, Brooks and Moreno",1,47
997,Garza-Williams,1,47
693,Salazar PLC,1,47
16,Brown and Sons,1,47
97,King-Snyder,1,47
340,"Barry, Powers and White",2,47
871,"Burke, Yates and Hicks",1,47
63,"Fuller, Vincent and Fernandez",1,47
1000,Jenkins-Brooks,1,47
74,Johnston Ltd,2,46
495,"Barker, Gibbs and Lopez",1,46
212,"Dennis, Parker and Sanchez",1,46
753,Lawrence-Clark,1,46
217,Williams Ltd,1,46
244,Chan-Elliott,2,46
273,Hammond LLC,2,46
84,Atkins Group,1,46
409,Ayala LLC,1,46
789,Blair Group,1,45
801,Black Group,1,45
937,Taylor Group,1,45
224,Hughes-Jackson,1,45
50,Perez-Williams,2,45
33,"Miranda, Wilcox and Short",1,45
202,Graham-Peters,1,45
567,Clark-Taylor,1,45
351,Berry-Mack,2,45
616,Moore-Flowers,3,44
158,Shepherd Group,1,44
868,"West, Martinez and Warren",2,44
984,Gamble-Davis,2,44
503,Abbott-Robinson,1,44
591,Miller Inc,1,44
815,Brown-Butler,1,44
29,Andrews-Wiley,1,44
701,Pearson-Barry,1,44
241,"Harper, Blake and Alexander",3,44
672,"Ferguson, Henderson and Watson",1,43
110,Figueroa-Soto,1,43
531,Miller Ltd,1,43
548,"House, James and Miller",1,43
798,Jordan LLC,3,43
514,Roy-Hancock,3,43
968,"Robinson, Schaefer and Foster",1,43
310,"Sullivan, Thornton and Peterson",1,43
405,"Mills, Smith and Martin",1,42
592,Chan PLC,1,42
282,"Baker, Gardner and Callahan",1,42
793,Thomas-Flores,2,42
72,"Ward, Shepherd and Krause",2,42
358,Cole-Ochoa,1,42
535,Hill PLC,1,42
735,Koch Inc,2,42
324,Roberts Group,1,42
817,Mullins Ltd,1,42
293,Ibarra and Sons,2,42
716,Wright-Hogan,1,42
582,Wilkerson and Sons,1,42
737,"Ballard, Stanley and Hill",2,42
477,Alvarado LLC,2,42
700,Webster and Sons,1,41
372,Elliott-Jones,2,41
738,Combs Ltd,1,41
46,"Fisher, Hernandez and Webster",3,41
807,"Stewart, Rocha and Torres",1,41
129,Hicks Ltd,1,41
215,Simmons Ltd,3,40
509,Roth-Mathews,1,40
321,Williams-Boyle,1,40
133,Baker LLC,2,40
123,Stephens-Stephens,1,40
692,"Rocha, Johnson and Dunlap",2,40
583,Martin-Wright,2,40
235,Gutierrez LLC,2,40
111,Ball-Church,1,40
512,Taylor-Lyons,1,40
505,"Sutton, Day and Brooks",1,39
200,Turner-Woods,1,39
199,"Clark, Evans and Navarro",1,39
261,"Lopez, Davis and Duncan",1,39
714,Ramos Group,2,39
49,"Miller, Braun and Graham",1,39
626,Trevino Ltd,1,39
10,"Hall, Nguyen and Martinez",1,39
252,Blair LLC,1,39
270,Harrison-Wilson,1,39
962,Galloway-Henderson,1,39
96,"Pierce, Walsh and Rogers",1,39
862,Obrien-Carr,2,38
524,Torres Ltd,1,38
78,Frazier LLC,1,38
876,Rosario-Porter,2,38
170,"Peters, Chase and Davis",1,38
766,Parker Group,2,38
435,"Davies, Salas and Clark",1,38
183,Elliott-Stephens,1,38
541,Lewis-Deleon,1,38
159,"Wagner, Cole and Thompson",1,38
277,Ramos and Sons,1,38
600,Green LLC,1,37
289,Jenkins-Carpenter,1,37
533,"Daniel, Schroeder and Morse",1,37
274,Shields-Moore,1,37
557,Smith PLC,2,37
786,Simmons-Davis,2,37
144,"Johnson, Harris and White",2,37
934,Nelson and Sons,1,37
43,"Martinez, Johnson and Torres",1,37
595,Knox and Sons,1,36
932,"Jones, Allison and Ellison",1,36
933,Jimenez-Ramirez,1,36
93,"Davis, Vaughan and Shepherd",1,36
857,Holmes-Schaefer,3,36
434,Kennedy-Johnston,1,36
780,Lee LLC,1,36
52,Buck-Carey,1,35
198,Bowman LLC,1,35
784,"Wolfe, Hull and Richardson",1,35
86,Murphy-Boyd,1,35
954,Herrera LLC,1,35
657,Carpenter-Wright,1,35
886,Gentry and Sons,1,35
446,Nichols-Barnes,2,35
304,Douglas-Colon,1,35
722,Young-Luna,1,35
474,Gonzalez Inc,1,35
516,"Raymond, Kelly and Yates",1,35
599,Gomez LLC,1,34
95,Orr Inc,1,34
338,Ibarra LLC,1,34
677,"Gonzalez, Dunn and Oconnell",2,34
350,"Scott, Johnson and Villa",1,34
887,Preston-Smith,2,34
671,Sanders and Sons,1,34
327,"Miller, Conner and Clark",1,34
894,Fowler-Morgan,1,34
223,Hodges and Sons,1,34
178,Mcbride-Rogers,1,34
422,Wilson-Cook,2,33
782,Wheeler-Galvan,1,33
827,"Stewart, Cox and Tate",1,33
694,Avery PLC,1,33
116,Mcdaniel-Morales,1,33
726,Hancock-Jackson,2,33
804,Jackson Ltd,1,33
848,Fisher PLC,1,33
206,Yoder-Murray,1,33
687,Mcdonald-Howell,2,33
243,Davis-Hurley,1,33
249,"Davis, Sanchez and Hernandez",1,33
228,Stewart-Soto,1,33
853,Jefferson Group,1,33
115,Wells-Davis,1,33
540,Randall-Wagner,1,33
463,Carey-Ramos,2,33
570,"Jones, Calderon and Finley",1,32
960,"Jackson, Shelton and Mayer",1,32
381,"Cruz, Lee and Fernandez",1,32
82,Carey-Richardson,1,32
414,Gonzales Group,1,32
777,"Giles, Weiss and Brown",1,32
267,Sherman-Garza,1,32
426,Cook-Rodriguez,1,32
547,"Walter, Gonzales and Potter",1,32
530,"Spencer, Eaton and Young",1,32
239,"Simpson, Thomas and Smith",2,31
989,Williams-Aguirre,2,31
754,Rodriguez and Sons,1,31
263,"Lutz, Smith and Martin",1,31
429,"Olson, Johnson and Figueroa",2,31
958,Patel Ltd,1,31
760,Frederick LLC,1,31
935,Frazier-Sanders,1,31
732,Mendoza LLC,1,31
483,Bates-Johnson,2,30
151,Butler-Newman,1,30
295,"Patterson, Harris and Kelly",1,30
150,"Powers, Clark and Snyder",1,30
589,"Boyd, Padilla and Simpson",1,30
285,Sanchez-Fisher,2,30
734,Patterson-Collins,1,29
345,Mitchell-Watson,1,29
625,Whitney-Fields,1,29
464,Barber Ltd,1,29
247,Shepherd-Yates,1,29
413,"Davis, Bowen and Miller",3,29
720,"Page, Smith and Davis",2,29
234,Sherman-Baker,2,29
268,"White, Hutchinson and Williams",1,29
227,Morse-Hoffman,1,28
931,Phillips-Bradley,1,28
497,Sparks-Berry,2,28
222,"Tran, Douglas and Harvey",1,28
718,Livingston Inc,2,28
710,Adams-Meyer,1,28
265,Simmons-Mcdaniel,1,28
356,Espinoza PLC,1,28
795,Rollins-Mclaughlin,1,28
587,"Davis, Cruz and Schaefer",1,27
40,Robinson PLC,1,27
169,Hines-Green,2,27
367,Patel and Sons,1,27
107,"Pollard, Tyler and Davis",2,27
284,Cruz Inc,1,27
316,Johnson Group,2,27
640,"Cook, Jackson and Griffith",1,27
719,Graham PLC,1,27
802,Williams Inc,1,27
11,"Flores, Jackson and Ford",1,27
611,Williams-Manning,1,27
698,Hawkins-Novak,2,26
985,Frey PLC,1,26
373,Avila Group,1,26
465,Terry Inc,1,26
323,Peters-Johnson,1,26
102,"Hester, Bowers and Carpenter",1,26
182,Wilson-Ortiz,2,26
585,Warren Group,1,26
576,Townsend Inc,1,25
879,Hughes Ltd,1,25
452,"Roberson, Marquez and Mcdowell",1,25
837,Horn-House,1,25
100,Greene-Garcia,1,25
331,"Edwards, Johnson and Cross",1,25
22,Miller-Carter,2,25
103,Russell-Summers,1,25
257,James Group,1,25
923,Rodriguez Inc,1,25
608,Love-Montgomery,1,24
676,Osborne LLC,1,24
380,Nelson PLC,2,24
558,Beck Group,1,24
668,"Williams, Simpson and Waters",1,24
14,Nguyen-Tran,1,23
559,"Young, Moran and Morris",1,23
903,"Galloway, Hall and Oconnell",1,23
977,Anderson and Sons,1,23
911,Alexander PLC,2,23
152,Rogers-Shaw,1,23
333,"Herrera, Fritz and Banks",1,23
126,"Jackson, Gonzalez and Smith",2,23
181,"Black, Montgomery and Hernandez",1,23
552,"Schwartz, Holland and Mccarthy",1,22
866,Jones-Patterson,1,22
67,Shannon Ltd,1,22
35,Nguyen-Parsons,1,22
254,Huber Group,1,22
794,"Coleman, Williams and Nichols",2,22
527,"Moran, Mcmillan and Jones",1,22
85,Larson Ltd,1,22
828,Campbell LLC,2,22
90,Miller Group,1,22
647,Hayes Inc,1,22
65,Fletcher Inc,1,21
621,Chan Group,2,21
408,Thompson-Ortiz,1,21
9,Nguyen Inc,1,21
453,Moore LLC,1,21
520,"Jackson, Miller and Porter",1,21
577,Taylor-Matthews,2,21
42,Austin-Yu,1,21
636,Carroll-Stanley,1,21
982,Martinez PLC,1,21
778,Blanchard-Parsons,1,21
266,Thomas-Carpenter,1,21
776,"Lee, Walker and Woodward",1,21
852,Jones-Burnett,1,20
68,Sherman-Wolfe,1,20
572,Shaw Group,1,20
882,"Freeman, Allen and Castaneda",1,20
880,Johnson-Brown,1,20
122,Mosley-Hernandez,1,20
118,Evans-Harrison,1,20
342,Smith Inc,1,20
721,Randolph-Bauer,1,19
922,Villegas Inc,1,19
981,Glenn-York,1,19
120,Burns-Davis,1,19
902,Parsons Ltd,1,19
388,Rivera Ltd,2,19
513,"Cruz, Murphy and Santos",1,19
751,"Bryant, Jacobson and West",2,19
26,Hansen Inc,1,19
976,"Robinson, Rodriguez and Reilly",1,18
841,Smith Inc,1,18
816,Dunlap Inc,1,18
814,"Scott, Lopez and Baldwin",1,18
916,Davis and Sons,1,18
537,Jones Group,1,18
336,Mckinney LLC,1,18
155,Bennett-Parker,1,18
930,Cannon-Garcia,2,18
990,Jones PLC,1,17
472,Roach-Wheeler,1,17
800,"Hughes, Fuller and Sanchez",1,17
175,Olson Ltd,1,17
172,"Parker, Macdonald and Espinoza",1,17
191,Grant-Davis,1,17
630,Mathews-Harrison,1,17
613,Cross and Sons,1,17
952,"Harris, Mcdonald and Taylor",1,17
872,Calderon-Torres,1,16
836,Phillips PLC,1,16
593,"Spencer, Gibson and Arias",1,16
913,Crosby Group,2,16
590,Adams-Young,1,16
314,Wright-Mcclure,1,16
650,Pugh Group,1,16
637,Rodriguez LLC,1,15
569,Booker Ltd,1,15
899,"Jackson, Lee and Hodge",1,15
730,Arroyo-Henderson,1,15
127,Vasquez LLC,1,15
88,"Oliver, Williams and Rich",1,15
193,"Chung, Morris and Craig",1,15
112,"Webb, Graves and Harrison",1,15
614,"Morris, Mcpherson and Edwards",1,14
279,"Greene, Wood and Hernandez",1,14
164,Yu-Rodriguez,1,14
987,"Harris, Santos and Roberts",1,14
623,Williams Inc,1,14
38,Lawrence LLC,1,14
806,Stone LLC,2,14
450,Gibson and Sons,1,14
125,Brown-Grimes,2,14
965,Oconnor Ltd,2,14
743,"Mayer, Hawkins and Day",1,14
230,Phelps-Robbins,1,14
713,Bell-Newman,1,14
341,Jenkins-Carrillo,1,13
508,"Goodwin, Acosta and Chan",1,13
683,Pratt Ltd,1,13
386,Miranda Ltd,1,13
926,Perkins Ltd,2,13
656,Henry PLC,2,13
883,"Lewis, Wagner and Solis",2,13
174,"Gillespie, Foster and Boyd",1,13
456,Simmons PLC,1,13
691,"Obrien, King and Robinson",2,12
575,Martinez and Sons,1,12
549,"Doyle, Clark and Campbell",1,12
665,Ortega-Webb,1,12
211,"Anderson, Patrick and Scott",1,11
741,"Martin, Richardson and Snow",1,11
56,Morris Ltd,1,11
104,Jackson LLC,1,11
148,"Perry, Cabrera and Owens",1,11
896,"Marquez, Reid and Kramer",1,11
601,Owens-Johnson,1,11
973,Watson LLC,1,11
662,"Morris, Mcintyre and Austin",1,10
511,Mitchell PLC,1,10
653,"Perry, Perez and Carter",2,10
831,Figueroa Inc,1,10
475,Henderson Group,1,10
39,Fernandez-Bridges,2,10
673,Reynolds Group,1,10
526,"Harrington, Jimenez and Carr",1,9
539,Smith-Thomas,1,9
929,Allen LLC,1,9
24,"Black, Collins and Richard",1,9
275,"Floyd, Jones and Alvarado",1,9
949,"Jackson, Howe and Gentry",1,9
167,Thompson-Turner,1,9
374,"Pollard, Yoder and Martin",1,8
764,"Villegas, Chen and Campos",2,8
963,Johnson PLC,1,8
659,Callahan-Olsen,1,8
328,"Walker, Brennan and Townsend",1,8
326,"Bender, Jordan and Bennett",2,8
480,Brooks-Mccarty,1,8
470,"Bishop, Martinez and Robinson",1,8
177,Turner-Ramirez,1,8
313,Maldonado-Davis,1,7
142,"Myers, Kelley and Riley",1,7
519,"Smith, James and Alvarado",1,7
335,"Newman, Pearson and Mccarthy",2,7
204,Lyons Inc,1,7
337,Hogan-Oliver,1,7
875,Mendoza-Espinoza,1,7
948,House-Bates,1,7
998,Novak Group,1,7
461,Murray Inc,1,6
811,Hall-Barnett,1,6
59,"Warner, White and Morris",1,6
729,Bennett Inc,1,6
536,Johnson-Farley,1,6
334,Cox-Mcintyre,1,6
444,"King, Schneider and Banks",1,6
964,Graham and Sons,1,6
48,Conway-Barr,1,5
606,"Freeman, Decker and Johnson",1,5
60,Parker-Campbell,1,5
124,"Allen, Zimmerman and Harrington",1,5
418,"Schwartz, Odonnell and Padilla",1,5
320,Shah Group,1,5
301,"Smith, Glover and Mcintyre",1,5
639,Chandler-Roberts,1,5
638,Patterson Inc,1,5
824,Howard-Williams,1,5
769,Andrews Inc,1,4
55,Wilson-Brown,1,4
959,Stanley PLC,1,4
195,Williams-Strong,1,4
245,Williams and Sons,1,4
45,"Butler, Kennedy and Cowan",1,4
76,Clark-Estes,1,4
189,Blackwell Ltd,1,4
134,Cook Ltd,1,4
378,Foster Ltd,1,4
907,Sanchez PLC,1,3
396,Chase-Gross,1,3
740,Cunningham Ltd,1,3
468,Alexander-Mendoza,1,3
420,Snyder Ltd,1,3
674,Reid-Johnson,1,3
844,Gallagher-Brown,1,3
765,Wong-Wilson,1,2
213,"Anderson, Robinson and Phillips",1,2
788,Russell and Sons,1,2
945,Young-Wu,1,2
555,"Valencia, Floyd and Jordan",1,2
762,Simmons Group,1,2
731,Ayers-Lewis,1,2
186,Garner PLC,1,2
919,Cruz-Davis,1,2
184,Norris-Townsend,1,1
258,Gonzales-Moore,1,1
745,"Martinez, Armstrong and Carroll",1,1
870,Mcgee PLC,1,1
939,Reyes and Sons,1,1
849,Brown and Sons,1,1
